StationNum:30
WorkerNum:120
ParcelNum:40
station lat lng lowerbound upperbound
1 43659 -79383 100 1000
2 43650 -79384 100 1000
3 43785 -79411 100 1000
4 43714 -79390 100 1000
5 43648 -79573 100 1000
6 43667 -79387 100 1000
7 43706 -79421 100 1000
8 43752 -79473 100 1000
9 43762 -79398 100 1000
10 43795 -79267 100 1000
11 43664 -79468 100 1000
12 43683 -79336 100 1000
13 43696 -79369 100 1000
14 43755 -79451 100 1000
15 43776 -79258 100 1000
16 43659 -79383 100 1000
17 43650 -79384 100 1000
18 43785 -79411 100 1000
19 43714 -79390 100 1000
20 43648 -79573 100 1000
21 43667 -79387 100 1000
22 43706 -79421 100 1000
23 43752 -79473 100 1000
24 43762 -79398 100 1000
25 43795 -79267 100 1000
26 43664 -79468 100 1000
27 43683 -79336 100 1000
28 43696 -79369 100 1000
29 43755 -79451 100 1000
30 43776 -79258 100 1000
worker latO lngO latD lngD capacity drivingTMax
94 43727 -79301 43720 -79384 30 18
95 43680 -79571 43628 -79551 51 16
96 43773 -79189 43774 -79488 68 70
97 43791 -79348 43666 -79398 34 42
98 43659 -79421 43684 -79292 55 28
99 43759 -79280 43765 -79409 46 28
100 43605 -79511 43652 -79392 61 30
101 43741 -79537 43674 -79474 69 24
102 43687 -79390 43643 -79552 49 34
103 43653 -79385 43670 -79409 59 8
104 43654 -79382 43790 -79422 59 36
105 43692 -79594 43663 -79451 62 32
106 43793 -79415 43763 -79455 63 14
107 43755 -79576 43723 -79585 51 12
108 43797 -79338 43807 -79342 65 2
109 43766 -79382 43648 -79391 35 36
110 43707 -79501 43680 -79421 33 20
111 43655 -79359 43767 -79297 69 38
112 43785 -79411 43704 -79394 58 22
113 43643 -79385 43645 -79379 58 2
114 43793 -79309 43773 -79416 35 22
115 43710 -79396 43791 -79348 48 30
116 43751 -79208 43653 -79385 30 44
117 43686 -79435 43648 -79391 32 14
118 43704 -79394 43796 -79374 43 30
119 43643 -79398 43659 -79360 43 8
120 43776 -79301 43785 -79177 64 26
parcel lat lng demand
1 43769 -79395 59
2 43790 -79385 39
3 43704 -79394 55
4 43706 -79369 52
5 43633 -79492 53
6 43693 -79480 43
7 43654 -79411 45
8 43780 -79238 69
9 43787 -79401 65
10 43657 -79534 67
11 43704 -79394 40
12 43735 -79243 35
13 43748 -79494 35
14 43741 -79443 30
15 43696 -79384 51
16 43638 -79514 68
17 43787 -79247 34
18 43695 -79410 55
19 43675 -79314 46
20 43687 -79390 61
21 43665 -79373 69
22 43752 -79523 49
23 43792 -79276 59
24 43765 -79254 59
25 43697 -79280 62
26 43732 -79348 63
27 43698 -79510 51
28 43808 -79197 65
29 43684 -79318 35
30 43767 -79297 33
31 43654 -79493 69
32 43726 -79499 58
33 43765 -79222 58
34 43783 -79418 35
35 43643 -79398 48
36 43738 -79490 30
37 43675 -79444 32
38 43677 -79463 43
39 43755 -79451 43
40 43721 -79316 64
traveltimematrix
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 3 0 9 0 16 0 18 0 23 0 9 0 6 0 27 0 1 0 14 0 20 0 30 0 18 0 25 0 24 0 2 0 17 0 5 0 4 0 16 0 7 0 31 0 6 0 17 0 1 0 1 0 18 0 5 0 3 0 24 0 32 0 1 0 1 0 14 0 19 0 2 0 7 0 14 0 27 0 5 0 2 0 15 0 1 0 6 0 22 0 25 0 15 0 3 0 20 0 3 0 32 0 19 0 1 0 18 0 21 0 3 0 1 0 27 0 18 0 1 0 12 0 10 0 2 0 2 0 14 0 1 0 20 0 2 0 14 0 25 0 19 0 6 0 19 0 26 0 11 0 24 0 8 0 29 0 2 0 3 0 3 0 24 0 15 0 12 0 22 0 33 0 16 0 24 0 15 0 1 0 12 0 9 0 18 0 21 0 2 0 10 0 14 0 1 0 10 0 18 0 3 0 18 0 8 0 17 0 25 0 24 0 2 0 5 0 20 0 6 0 1 0 15 0 21 0 1 0 2 0 22 0 2 0 28 16 19 6 8 12 12 3 25 18 16 6 19 19 13 5 15 27 5 7 4 1 22 26 23 12 13 15 30 8 20 11 18 23 16 3 18 7 9 16 13
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 5 0 2 0 11 0 17 0 17 0 24 0 9 0 6 0 29 0 1 0 15 0 21 0 31 0 18 0 26 0 24 0 1 0 18 0 6 0 4 0 15 0 7 0 31 0 7 0 18 0 1 0 1 0 18 0 6 0 4 0 25 0 32 0 2 0 1 0 13 0 20 0 3 0 8 0 13 0 29 0 6 0 1 0 16 0 1 0 8 0 23 0 26 0 14 0 4 0 21 0 2 0 33 0 20 0 1 0 19 0 22 0 5 0 1 0 27 0 17 0 1 0 14 0 11 0 3 0 1 0 15 0 1 0 21 0 2 0 15 0 26 0 19 0 8 0 18 0 26 0 12 0 25 0 9 0 30 0 1 0 2 0 1 0 25 0 16 0 13 0 23 0 34 0 16 0 24 0 16 0 1 0 11 0 11 0 18 0 22 0 3 0 10 0 15 0 1 0 11 0 18 0 4 0 19 0 8 0 19 0 25 0 25 0 1 0 6 0 21 0 8 0 1 0 17 0 22 0 1 0 1 0 23 0 2 0 28 17 20 8 10 11 13 3 26 19 16 8 20 20 14 7 14 27 6 8 5 2 23 26 23 13 15 16 30 9 21 11 19 23 18 1 19 8 10 17 15
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 13 0 20 0 10 0 11 0 30 0 11 0 21 0 21 0 12 0 19 0 22 0 7 0 30 0 15 0 28 0 14 0 19 0 20 0 13 0 19 0 31 0 20 0 20 0 14 0 21 0 19 0 18 0 30 0 15 0 17 0 16 0 17 0 16 0 19 0 30 0 10 0 17 0 21 0 27 0 12 0 17 0 19 0 19 0 18 0 11 0 12 0 11 0 30 0 15 0 15 0 21 0 21 0 31 0 18 0 14 0 10 0 14 0 19 0 18 0 35 0 18 0 15 0 21 0 17 0 19 0 9 0 18 0 7 0 19 0 10 0 20 0 30 0 15 0 36 0 16 0 19 0 9 0 10 0 15 0 20 0 20 0 21 0 9 0 14 0 17 0 5 0 19 0 26 0 17 0 19 0 18 0 28 0 10 0 30 0 10 0 17 0 23 0 3 0 19 0 20 0 29 0 17 0 1 0 20 0 6 0 21 0 8 0 19 0 16 0 15 0 11 0 19 0 1 0 6 0 18 0 19 0 5 0 19 0 26 3 2 11 13 28 17 20 20 1 26 11 23 11 8 13 28 18 13 21 13 17 12 15 19 22 12 20 22 20 15 24 14 23 1 20 12 18 19 7 17
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 4 0 10 0 2 0 9 0 22 0 18 0 12 0 10 0 21 0 9 0 13 0 12 0 25 0 14 0 20 0 21 0 10 0 12 0 4 0 8 0 23 0 11 0 26 0 4 0 12 0 9 0 9 0 21 0 6 0 8 0 18 0 26 0 6 0 9 0 22 0 14 0 8 0 10 0 18 0 21 0 7 0 10 0 10 0 9 0 1 0 19 0 19 0 22 0 5 0 14 0 12 0 27 0 23 0 9 0 13 0 17 0 4 0 9 0 21 0 26 0 9 0 6 0 10 0 8 0 9 0 6 0 8 0 12 0 10 0 6 0 20 0 23 0 4 0 27 0 23 0 11 0 17 0 1 0 23 0 10 0 10 0 11 0 17 0 10 0 9 0 14 0 28 0 19 0 21 0 10 0 9 0 20 0 2 0 21 0 17 0 8 0 12 0 7 0 9 0 12 0 21 0 8 0 11 0 12 0 12 0 22 0 17 0 10 0 7 0 14 0 1 0 9 0 8 0 14 0 9 0 10 0 14 0 9 0 23 9 11 1 2 20 9 10 20 11 19 1 14 15 8 2 19 21 4 10 4 7 19 19 17 13 7 13 25 9 14 15 13 18 10 11 14 9 10 10 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 19 0 23 0 24 0 32 0 5 0 21 0 12 0 26 0 41 0 19 0 32 0 32 0 47 0 15 0 42 0 17 0 21 0 34 0 18 0 23 0 6 0 14 0 47 0 18 0 34 0 21 0 19 0 3 0 17 0 17 0 40 0 46 0 20 0 21 0 10 0 20 0 18 0 27 0 8 0 41 0 16 0 19 0 32 0 21 0 21 0 19 0 39 0 7 0 20 0 36 0 18 0 49 0 3 0 20 0 16 0 24 0 19 0 21 0 42 0 9 0 20 0 28 0 28 0 18 0 22 0 28 0 20 0 32 0 18 0 28 0 43 0 1 0 24 0 9 0 17 0 12 0 38 0 22 0 44 0 20 0 23 0 20 0 38 0 15 0 13 0 34 0 49 0 4 0 15 0 32 0 20 0 10 0 24 0 3 0 24 0 18 0 29 0 27 0 19 0 11 0 2 0 17 0 30 0 13 0 25 0 11 0 37 0 19 0 16 0 36 0 21 0 21 0 28 0 34 0 20 0 19 0 34 0 22 0 45 28 32 21 23 10 13 17 43 31 4 21 37 20 22 21 7 42 18 27 19 21 19 40 39 30 29 12 47 27 36 10 16 40 29 19 19 14 12 24 30
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 4 0 8 0 15 0 17 0 22 0 8 0 7 0 26 0 2 0 13 0 18 0 29 0 16 0 24 0 23 0 3 0 16 0 4 0 4 0 18 0 6 0 30 0 5 0 16 0 2 0 2 0 17 0 3 0 2 0 23 0 31 0 1 0 3 0 15 0 17 0 1 0 8 0 13 0 26 0 3 0 3 0 14 0 2 0 5 0 21 0 24 0 16 0 1 0 19 0 5 0 31 0 19 0 2 0 16 0 20 0 2 0 2 0 26 0 19 0 2 0 11 0 9 0 1 0 3 0 13 0 2 0 18 0 3 0 13 0 24 0 18 0 5 0 21 0 24 0 10 0 23 0 6 0 28 0 3 0 4 0 4 0 23 0 13 0 11 0 20 0 32 0 15 0 23 0 14 0 2 0 13 0 8 0 17 0 20 0 1 0 10 0 13 0 2 0 9 0 17 0 2 0 16 0 7 0 16 0 24 0 23 0 3 0 4 0 19 0 5 0 3 0 14 0 20 0 2 0 3 0 20 0 3 0 27 14 18 5 7 13 11 3 24 17 15 5 18 18 12 4 14 26 4 8 2 1 21 25 22 11 12 14 29 8 19 10 16 22 15 4 17 6 8 15 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 4 0 11 0 5 0 13 0 18 0 15 0 9 0 13 0 23 0 8 0 16 0 15 0 29 0 11 0 23 0 18 0 10 0 15 0 2 0 10 0 19 0 7 0 29 0 1 0 15 0 9 0 7 0 18 0 3 0 5 0 22 0 28 0 6 0 9 0 18 0 11 0 6 0 13 0 15 0 23 0 4 0 8 0 13 0 9 0 2 0 15 0 21 0 18 0 6 0 18 0 8 0 31 0 19 0 8 0 10 0 14 0 4 0 9 0 24 0 23 0 8 0 9 0 13 0 6 0 10 0 9 0 8 0 15 0 8 0 10 0 24 0 19 0 7 0 24 0 19 0 7 0 20 0 4 0 26 0 9 0 11 0 9 0 20 0 7 0 5 0 16 0 31 0 15 0 18 0 13 0 8 0 16 0 5 0 18 0 14 0 6 0 15 0 9 0 8 0 8 0 17 0 5 0 13 0 8 0 9 0 19 0 19 0 8 0 3 0 18 0 2 0 9 0 10 0 17 0 8 0 8 0 16 0 10 0 26 11 14 2 5 16 5 7 24 13 15 2 18 12 5 4 16 24 2 13 4 8 15 22 21 16 10 9 28 12 18 12 10 21 11 9 11 5 7 8 11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 13 0 19 0 11 0 15 0 22 0 6 0 14 0 22 0 20 0 16 0 25 0 12 0 34 0 7 0 31 0 9 0 18 0 24 0 11 0 19 0 24 0 13 0 27 0 10 0 24 0 17 0 16 0 22 0 12 0 13 0 20 0 26 0 15 0 18 0 23 0 2 0 14 0 23 0 19 0 20 0 12 0 17 0 22 0 17 0 12 0 6 0 19 0 23 0 15 0 19 0 17 0 29 0 24 0 17 0 6 0 4 0 13 0 17 0 22 0 27 0 17 0 18 0 22 0 14 0 18 0 12 0 17 0 12 0 16 0 13 0 24 0 22 0 16 0 28 0 11 0 12 0 18 0 12 0 23 0 17 0 19 0 17 0 18 0 7 0 9 0 14 0 28 0 19 0 12 0 22 0 17 0 21 0 11 0 22 0 4 0 14 0 24 0 6 0 16 0 13 0 22 0 13 0 9 0 14 0 3 0 15 0 17 0 17 0 12 0 19 0 12 0 18 0 7 0 14 0 17 0 17 0 14 0 18 0 30 8 11 12 14 21 9 15 24 10 19 12 27 3 4 13 20 22 11 23 13 16 6 20 23 25 15 12 27 21 19 16 6 27 8 17 3 12 12 2 20
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 11 0 18 0 7 0 8 0 28 0 14 0 19 0 17 0 13 0 17 0 19 0 5 0 27 0 12 0 24 0 16 0 17 0 17 0 11 0 15 0 29 0 18 0 19 0 12 0 17 0 17 0 16 0 27 0 13 0 15 0 12 0 18 0 14 0 17 0 28 0 9 0 15 0 18 0 24 0 13 0 14 0 17 0 15 0 16 0 9 0 14 0 11 0 28 0 13 0 11 0 19 0 21 0 29 0 16 0 12 0 12 0 11 0 17 0 15 0 32 0 16 0 11 0 17 0 15 0 17 0 5 0 16 0 5 0 17 0 7 0 17 0 28 0 11 0 34 0 18 0 17 0 10 0 8 0 16 0 17 0 18 0 19 0 10 0 12 0 15 0 6 0 21 0 24 0 19 0 15 0 16 0 26 0 7 0 27 0 12 0 15 0 19 0 1 0 17 0 18 0 27 0 15 0 5 0 18 0 7 0 22 0 9 0 17 0 14 0 11 0 9 0 17 0 3 0 7 0 16 0 17 0 6 0 17 0 23 1 4 9 9 26 15 18 17 4 24 9 20 10 6 11 25 15 11 18 11 15 14 12 15 19 8 17 20 16 11 21 12 20 4 18 11 16 17 5 13
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 24 0 27 0 20 0 11 0 42 0 26 0 33 0 21 0 6 0 29 0 13 0 10 0 15 0 27 0 12 0 29 0 28 0 10 0 25 0 24 0 43 0 32 0 6 0 25 0 11 0 28 0 28 0 42 0 27 0 28 0 2 0 5 0 26 0 28 0 41 0 24 0 27 0 20 0 39 0 6 0 28 0 29 0 12 0 28 0 22 0 26 0 4 0 42 0 25 0 7 0 31 0 8 0 43 0 28 0 26 0 24 0 25 0 28 0 2 0 45 0 28 0 15 0 18 0 27 0 27 0 14 0 27 0 10 0 29 0 16 0 5 0 42 0 21 0 47 0 30 0 31 0 6 0 21 0 2 0 29 0 27 0 30 0 6 0 26 0 29 0 11 0 7 0 38 0 32 0 13 0 28 0 39 0 20 0 42 0 24 0 27 0 17 0 15 0 29 0 32 0 41 0 28 0 16 0 32 0 21 0 35 0 9 0 29 0 28 0 7 0 22 0 28 0 16 0 9 0 28 0 29 0 11 0 25 0 10 14 13 22 20 39 29 30 5 14 38 22 9 25 21 22 40 2 25 20 24 26 26 1 4 15 15 32 7 19 7 36 26 8 15 30 25 30 31 20 14
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 8 0 12 0 14 0 22 0 10 0 15 0 1 0 15 0 32 0 8 0 21 0 23 0 37 0 9 0 32 0 15 0 11 0 24 0 8 0 12 0 11 0 3 0 38 0 7 0 24 0 10 0 8 0 10 0 6 0 6 0 31 0 37 0 8 0 10 0 9 0 12 0 7 0 16 0 6 0 32 0 5 0 9 0 22 0 10 0 11 0 13 0 30 0 10 0 9 0 26 0 7 0 39 0 11 0 9 0 10 0 15 0 8 0 10 0 33 0 13 0 9 0 18 0 17 0 7 0 11 0 19 0 10 0 23 0 7 0 19 0 32 0 11 0 13 0 15 0 17 0 2 0 29 0 12 0 35 0 9 0 12 0 9 0 29 0 7 0 4 0 25 0 40 0 7 0 15 0 22 0 9 0 7 0 14 0 10 0 15 0 7 0 18 0 18 0 8 0 1 0 10 0 6 0 21 0 1 0 16 0 16 0 28 0 9 0 6 0 26 0 11 0 10 0 19 0 25 0 9 0 9 0 25 0 11 0 35 19 23 11 13 7 4 6 32 22 7 11 26 12 13 10 7 33 8 16 8 10 13 31 29 19 19 6 36 15 26 3 10 30 20 8 11 3 2 15 19
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 7 0 7 0 7 0 10 0 23 0 26 0 13 0 2 0 21 0 8 0 8 0 14 0 23 0 21 0 18 0 28 0 8 0 11 0 9 0 3 0 23 0 11 0 24 0 10 0 11 0 8 0 7 0 22 0 8 0 7 0 18 0 25 0 5 0 8 0 21 0 22 0 6 0 2 0 18 0 21 0 8 0 8 0 9 0 7 0 8 0 26 0 19 0 22 0 5 0 14 0 10 0 25 0 24 0 7 0 21 0 24 0 7 0 8 0 20 0 25 0 7 0 6 0 4 0 6 0 6 0 11 0 7 0 14 0 8 0 10 0 18 0 24 0 4 0 26 0 29 0 15 0 18 0 7 0 23 0 8 0 7 0 9 0 18 0 18 0 15 0 17 0 27 0 21 0 28 0 9 0 7 0 19 0 7 0 22 0 24 0 6 0 4 0 15 0 8 0 14 0 22 0 7 0 19 0 12 0 20 0 29 0 18 0 8 0 9 0 14 0 8 0 8 0 17 0 15 0 7 0 8 0 17 0 5 0 21 14 17 8 5 19 15 9 18 17 21 8 12 23 16 6 19 20 9 2 7 5 26 19 16 5 8 19 23 2 14 16 21 16 18 9 21 11 13 18 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 8 0 3 0 9 0 21 0 22 0 11 0 7 0 21 0 8 0 11 0 13 0 25 0 17 0 20 0 24 0 8 0 12 0 4 0 6 0 22 0 10 0 26 0 6 0 12 0 8 0 7 0 20 0 5 0 7 0 18 0 26 0 5 0 8 0 21 0 18 0 6 0 8 0 17 0 21 0 6 0 9 0 10 0 7 0 4 0 21 0 19 0 21 0 4 0 14 0 10 0 27 0 22 0 7 0 17 0 20 0 3 0 8 0 21 0 25 0 7 0 6 0 8 0 6 0 7 0 8 0 7 0 13 0 9 0 6 0 20 0 22 0 2 0 26 0 25 0 11 0 17 0 3 0 23 0 9 0 8 0 10 0 17 0 14 0 11 0 15 0 28 0 18 0 24 0 10 0 7 0 19 0 3 0 20 0 20 0 6 0 10 0 11 0 8 0 11 0 20 0 7 0 15 0 10 0 16 0 25 0 17 0 9 0 6 0 14 0 4 0 8 0 13 0 14 0 7 0 9 0 15 0 7 0 23 10 13 4 1 19 11 9 20 13 18 4 14 18 12 1 18 21 4 8 3 5 21 19 17 10 7 15 25 6 14 14 17 18 14 10 17 8 9 14 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 12 0 19 0 10 0 13 0 24 0 8 0 15 0 21 0 18 0 16 0 24 0 10 0 32 0 8 0 29 0 11 0 18 0 22 0 10 0 18 0 25 0 13 0 24 0 9 0 22 0 17 0 16 0 24 0 11 0 13 0 18 0 24 0 15 0 18 0 24 0 4 0 14 0 21 0 21 0 18 0 12 0 17 0 20 0 17 0 10 0 9 0 17 0 24 0 14 0 17 0 16 0 27 0 25 0 16 0 8 0 6 0 12 0 17 0 20 0 29 0 16 0 16 0 21 0 14 0 18 0 10 0 17 0 10 0 15 0 12 0 22 0 24 0 15 0 30 0 13 0 13 0 16 0 10 0 21 0 17 0 19 0 17 0 16 0 8 0 11 0 12 0 26 0 20 0 14 0 21 0 16 0 22 0 10 0 24 0 6 0 14 0 23 0 4 0 16 0 14 0 23 0 13 0 7 0 14 0 1 0 18 0 15 0 17 0 11 0 17 0 10 0 18 0 5 0 12 0 16 0 17 0 12 0 18 0 28 5 9 10 13 22 11 15 22 8 20 10 25 5 2 12 22 20 10 21 12 16 9 18 21 24 13 14 25 20 17 17 8 25 6 17 6 12 13 1 18
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 21 0 23 0 17 0 9 0 39 0 28 0 30 0 18 0 9 0 25 0 10 0 11 0 12 0 25 0 9 0 31 0 25 0 6 0 22 0 20 0 40 0 28 0 8 0 22 0 7 0 24 0 25 0 39 0 24 0 25 0 2 0 8 0 23 0 24 0 38 0 24 0 24 0 17 0 36 0 9 0 25 0 25 0 8 0 24 0 19 0 29 0 7 0 39 0 22 0 4 0 27 0 10 0 41 0 24 0 24 0 27 0 22 0 24 0 3 0 42 0 24 0 12 0 14 0 24 0 23 0 11 0 24 0 11 0 26 0 13 0 2 0 41 0 18 0 43 0 33 0 29 0 9 0 18 0 6 0 25 0 23 0 26 0 9 0 24 0 27 0 14 0 10 0 36 0 33 0 9 0 24 0 35 0 17 0 39 0 27 0 24 0 14 0 16 0 25 0 29 0 39 0 25 0 19 0 29 0 21 0 34 0 12 0 25 0 24 0 4 0 19 0 24 0 17 0 12 0 24 0 25 0 14 0 22 0 8 14 16 19 17 35 27 26 2 17 36 19 5 25 19 19 37 3 22 17 21 22 29 3 1 12 12 30 8 16 4 33 24 5 18 26 25 26 28 20 11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 3 0 9 0 16 0 18 0 23 0 9 0 6 0 27 0 1 0 14 0 20 0 30 0 18 0 25 0 24 0 2 0 17 0 5 0 4 0 16 0 7 0 31 0 6 0 17 0 1 0 1 0 18 0 5 0 3 0 24 0 32 0 1 0 1 0 14 0 19 0 2 0 7 0 14 0 27 0 5 0 2 0 15 0 1 0 6 0 22 0 25 0 15 0 3 0 20 0 3 0 32 0 19 0 1 0 18 0 21 0 3 0 1 0 27 0 18 0 1 0 12 0 10 0 2 0 2 0 14 0 1 0 20 0 2 0 14 0 25 0 19 0 6 0 19 0 26 0 11 0 24 0 8 0 29 0 2 0 3 0 3 0 24 0 15 0 12 0 22 0 33 0 16 0 24 0 15 0 1 0 12 0 9 0 18 0 21 0 2 0 10 0 14 0 1 0 10 0 18 0 3 0 18 0 8 0 17 0 25 0 24 0 2 0 5 0 20 0 6 0 1 0 15 0 21 0 1 0 2 0 22 0 2 0 28 16 19 6 8 12 12 3 25 18 16 6 19 19 13 5 15 27 5 7 4 1 22 26 23 12 13 15 30 8 20 11 18 23 16 3 18 7 9 16 13
