StationNum:30
WorkerNum:120
ParcelNum:40
station lat lng lowerbound upperbound
1 43659 -79383 100 1000
2 43650 -79384 100 1000
3 43785 -79411 100 1000
4 43714 -79390 100 1000
5 43648 -79573 100 1000
6 43667 -79387 100 1000
7 43706 -79421 100 1000
8 43752 -79473 100 1000
9 43762 -79398 100 1000
10 43795 -79267 100 1000
11 43664 -79468 100 1000
12 43683 -79336 100 1000
13 43696 -79369 100 1000
14 43755 -79451 100 1000
15 43776 -79258 100 1000
16 43659 -79383 100 1000
17 43650 -79384 100 1000
18 43785 -79411 100 1000
19 43714 -79390 100 1000
20 43648 -79573 100 1000
21 43667 -79387 100 1000
22 43706 -79421 100 1000
23 43752 -79473 100 1000
24 43762 -79398 100 1000
25 43795 -79267 100 1000
26 43664 -79468 100 1000
27 43683 -79336 100 1000
28 43696 -79369 100 1000
29 43755 -79451 100 1000
30 43776 -79258 100 1000
worker latO lngO latD lngD capacity drivingTMax
94 43727 -79301 43720 -79384 30 18
95 43680 -79571 43628 -79551 51 16
96 43773 -79189 43774 -79488 68 70
97 43791 -79348 43666 -79398 34 42
98 43659 -79421 43684 -79292 55 28
99 43759 -79280 43765 -79409 46 28
100 43605 -79511 43652 -79392 61 30
101 43741 -79537 43674 -79474 69 24
102 43687 -79390 43643 -79552 49 34
103 43653 -79385 43670 -79409 59 8
104 43654 -79382 43790 -79422 59 36
105 43692 -79594 43663 -79451 62 32
106 43793 -79415 43763 -79455 63 14
107 43755 -79576 43723 -79585 51 12
108 43797 -79338 43807 -79342 65 2
109 43766 -79382 43648 -79391 35 36
110 43707 -79501 43680 -79421 33 20
111 43655 -79359 43767 -79297 69 38
112 43785 -79411 43704 -79394 58 22
113 43643 -79385 43645 -79379 58 2
114 43793 -79309 43773 -79416 35 22
115 43710 -79396 43791 -79348 48 30
116 43751 -79208 43653 -79385 30 44
117 43686 -79435 43648 -79391 32 14
118 43704 -79394 43796 -79374 43 30
119 43643 -79398 43659 -79360 43 8
120 43776 -79301 43785 -79177 64 26
parcel lat lng demand
1 43769 -79395 59
2 43790 -79385 39
3 43704 -79394 55
4 43706 -79369 52
5 43633 -79492 53
6 43693 -79480 43
7 43654 -79411 45
8 43780 -79238 69
9 43787 -79401 65
10 43657 -79534 67
11 43704 -79394 40
12 43735 -79243 35
13 43748 -79494 35
14 43741 -79443 30
15 43696 -79384 51
16 43638 -79514 68
17 43787 -79247 34
18 43695 -79410 55
19 43675 -79314 46
20 43687 -79390 61
21 43665 -79373 69
22 43752 -79523 49
23 43792 -79276 59
24 43765 -79254 59
25 43697 -79280 62
26 43732 -79348 63
27 43698 -79510 51
28 43808 -79197 65
29 43684 -79318 35
30 43767 -79297 33
31 43654 -79493 69
32 43726 -79499 58
33 43765 -79222 58
34 43783 -79418 35
35 43643 -79398 48
36 43738 -79490 30
37 43675 -79444 32
38 43677 -79463 43
39 43755 -79451 43
40 43721 -79316 64
